"id";"name";"likes";"picture";"date"
564069080349050;"Palikot";41;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c0.0.200.200/p200x200/165942_564071017015523_1177628675_n.jpg?oh=a7479125c753de875ed0cfa572f51536&oe=5575CBB7&__gda__=1434923618_303aa2b32cd380019fbc9016781ebf34";"2015-03-16"
1579227922299058;"Janusz Palikot na Prezydenta";112;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c50.0.200.200/p200x200/960168_1579229228965594_6699290404459057417_n.jpg?oh=c7f40b9b7e6360706fd8b98c08f562d7&oe=55813A5A&__gda__=1433509768_76a13f1081a197cc0eb152a0e12079e3";"2015-03-16"
320028194786;"Palikot na Prezydenta";235;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c5.0.200.200/p200x200/11018626_10153082548534787_5778856932290033162_n.jpg?oh=7cdd9cc426cedffbeefb481af799f5f7&oe=5579A86C&__gda__=1434764602_b922b207adf9e6e40f39475faaa3ff25";"2015-03-16"
605295646244674;"Like dla Janusza Palikota";1477;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c33.0.200.200/p200x200/10368234_605298319577740_6406414976916846532_n.jpg?oh=f074b7b22d85b0949bbda17462d81044&oe=55B77E4B&__gda__=1438297612_e0f924c7083d18fd82d8b7e891f0d19a";"2015-03-16"
202306806581062;"Beka z dziwol¹gów Platformy i Ruchu Palikota";17259;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c30.0.200.200/p200x200/10492613_464331167045290_7919605666428462435_n.jpg?oh=8f17b2a137f6c9ed4b50e9cf7ad17566&oe=5580470C&__gda__=1434361804_77be57f939e0d7b757ecfcd2776fb1a5";"2015-03-16"
707491569370914;"Janusz Palikot Nasz Kandydat na Prezydenta";10;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c0.0.194.194/10933963_707496872703717_1347660184064531315_n.jpg?oh=4f5b8c395690c77d0c79603b70d3b4d2&oe=55B4F843&__gda__=1438270871_29f584ce810846e6a404d4150ca30a59";"2015-03-16"
564069080349050;"Palikot";41;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c0.0.200.200/p200x200/165942_564071017015523_1177628675_n.jpg?oh=a7479125c753de875ed0cfa572f51536&oe=5575CBB7&__gda__=1434923618_303aa2b32cd380019fbc9016781ebf34";"2015-03-17"
1579227922299058;"Janusz Palikot na Prezydenta";112;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c50.0.200.200/p200x200/960168_1579229228965594_6699290404459057417_n.jpg?oh=c7f40b9b7e6360706fd8b98c08f562d7&oe=55813A5A&__gda__=1433509768_76a13f1081a197cc0eb152a0e12079e3";"2015-03-17"
320028194786;"Palikot na Prezydenta";240;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c5.0.200.200/p200x200/11018626_10153082548534787_5778856932290033162_n.jpg?oh=7cdd9cc426cedffbeefb481af799f5f7&oe=5579A86C&__gda__=1434764602_b922b207adf9e6e40f39475faaa3ff25";"2015-03-17"
605295646244674;"Like dla Janusza Palikota";1478;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c33.0.200.200/p200x200/10368234_605298319577740_6406414976916846532_n.jpg?oh=f074b7b22d85b0949bbda17462d81044&oe=55B77E4B&__gda__=1438297612_e0f924c7083d18fd82d8b7e891f0d19a";"2015-03-17"
